,n,phi_instance,m_max,rep,CEGO,uMM ,FTW
0,20,0.5,400,0.0,0.009010761052768055,0.003954362764164417,True
1,20,0.5,400,1.0,0.006541396780606682,0.0019239402295902048,True
2,20,0.5,400,2.0,0.004549823774431272,0.003909003524511393,True
3,20,0.5,400,3.0,0.0069431051108968175,0.0022500803600128435,True
4,20,0.5,400,4.0,0.008736733108982656,0.003171110535852978,True
5,20,0.5,400,5.0,0.007249631102842112,0.003913517674985584,True
6,20,0.5,400,6.0,0.0019437605287028637,0.003110016845924562,False
7,20,0.5,400,7.0,0.0076164874551971325,0.0029441884280594012,True
8,20,0.5,400,8.0,0.004431599229287091,0.006486833654463723,False
9,20,0.5,400,9.0,0.007083599234205488,0.004211869814933018,True
10,20,0.7,400,0.0,0.005753447838226585,0.0019460191217530829,True
11,20,0.7,400,1.0,0.005400465270854104,0.0020771020272515785,True
12,20,0.7,400,2.0,0.005989518342899925,0.0008318775476249422,True
13,20,0.7,400,3.0,0.0035035035035035035,0.001418084751418099,True
14,20,0.7,400,4.0,0.0035460992907801418,0.0011820330969267187,True
15,20,0.7,400,5.0,0.0037415814417560487,0.0004157312713062632,True
16,20,0.7,400,6.0,0.003865871081603496,0.0015127321623665236,True
17,20,0.7,400,7.0,0.007009731156193304,0.0010720765297707617,True
18,20,0.7,400,8.0,0.004316427326305304,0.0018261807918983877,True
19,20,0.7,400,9.0,0.004952538175815105,0.0010730499380932938,True
20,20,0.9,400,0.0,0.004527813712807244,-0.0004312203536009106,True
21,20,0.9,400,1.0,0.0026782035434693035,-0.0010300782859499666,True
22,20,0.9,400,2.0,0.0046539862403885066,-0.0014164305949007127,True
23,20,0.9,400,3.0,0.0,-0.003919950484836228,True
24,20,0.9,400,4.0,0.0010957703265395574,-0.0015340784571552313,True
25,20,0.9,400,5.0,0.0002068680182043856,-0.0022755482002482304,True
26,20,0.9,400,6.0,0.0017312270071413113,-0.0006492101276780165,True
27,20,0.9,400,7.0,0.004258771040356926,-0.0006083958629078671,True
28,20,0.9,400,8.0,0.004468819825309771,-0.001218769043266347,True
29,20,0.9,400,9.0,0.0016566576931041624,0.0016566576931041268,True
