,filename,ratio,weight,seed,min
0,N-t2d150.02,0.1,0.9,0,13820.0
1,N-t2d150.01,0.1,0.9,0,15353.0
2,N-t2d200.01,0.1,0.9,0,34208.0
3,N-t2d200.02,0.1,0.9,0,35778.0
4,N-t1d100.01,0.1,0.9,0,74851.0
5,N-t1d100.02,0.1,0.9,0,76033.0
6,N-t1d150.02,0.1,0.9,0,178375.0
7,N-t1d150.01,0.1,0.9,0,180210.0
8,N-t1d200.02,0.1,0.9,0,319601.0
9,N-t1d200.01,0.1,0.9,0,322101.0
10,N-be75np-150,0.1,0.9,0,1368742.0
11,N-be75np-150,0.1,0.9,0,3102316.0
12,N-be75np-250,0.1,0.9,0,4380476.0
13,N-be75np-250,0.1,0.9,0,9361368.0
